"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","depurado","sinEspacios","statusCount","followers","favorites","friends","location","relevancia","localidadMayusculas","codProv","factorPonderacion"
"¡Suena ahora #ComoUnaSombra de @servando y @florentino en #CalentamientoRadialWQ La Mejor Música en tus Oídos! <ed><U+00A0><U+00BD><ed><U+00B1><U+0082><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5>",FALSE,0,NA,"2017-07-13 20:55:10",FALSE,NA,"885603534133133312",NA,"<a href= http://twitter.com/download/android  rel= nofollow >Twitter for Android</a>","WQRadio_EC",0,FALSE,FALSE,NA,NA,"uena ahora ComoUnaSombra de servando y florentino en CalentamientoRadialWQ La Mejor Música en tus OídosdUAUBDedUBUedUAUBCedUBEUBedUAUBCedUBEUBedUAUBCedUBEUBedUAUBCedUBEUB>","uenaahoraComoUnaSombradeservandoyflorentinoenCalentamientoRadialWQLaMejorMúsicaentusOídosdUAUBDedUBUedUAUBCedUBEUBedUAUBCedUBEUBedUAUBCedUBEUBedUAUBCedUBEUB>",77414,17860,5274,426,"Guayaquil - Ecuador.",41.924882629108,"GUAYAQUIL - ECUADOR.",9,NA
"RT @labrujaecuador: @JohnPeterMusic estuvo con nosotros en HECHIZO solo por la n<fa>mero 1 @labrujaecuador https://t.co/LBNDicBMAE",FALSE,0,NA,"29/06/2017 12:05",FALSE,NA,"8,80397E+17",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""","dsquiron",2,TRUE,FALSE,NA,NA,"estuvo con nosotros en HECHIZO solo por la n<fa>mero  labrujaecuador","estuvoconnosotrosenHECHIZOsoloporlan<fa>merolabrujaecuador",26,8,6,94,"Quito, Ecuador",0.0851063829787234,"QUITO, ECUADOR",17,0
"RT @FutGooolEc: Llega @SanLorenzo para su entrenamiento en la cancha Alterna del Monumental.



Informa @Jrnochi

V<ed>deo @Radio_Sucre. https://<U+0085>",FALSE,0,NA,"2017-07-05 00:00:00",FALSE,NA,"882716161976172544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FutbolActual247",2,TRUE,FALSE,NA,NA,"Llega SanLorenzo para su entrenamiento en la cancha Alterna del Monumental

Informa Jrnochi

V<ed>deo Radioucre","LlegaSanLorenzoparasuentrenamientoenlacanchaAlternadelMonumentalInformaJrnochiV<ed>deoRadioucre",112595,1064,61670,292,"<U+26BD> <U+26BD> <U+26BD>",3.64383561643836,"<U+26BD> <U+26BD> <U+26BD>",25,0
"RT @flcatomala2439: @Pepetoala @CanelaRadioEc  es lorena . Y la canta victor manuell",FALSE,0,NA,"29/06/2017 16:37",FALSE,NA,"8,80465E+17",NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Lite</a>""","CanelaRadioEc",1,TRUE,FALSE,NA,NA,"es lorena Y la canta victor manuell","eslorenaYlacantavictormanuell",39393,60936,2136,7,NA,8705.14285714286,NA,25,0
"Facebook ayudar<e1> a encontrar puntos cercanos de wifi gratis",FALSE,1,NA,"03/07/2017 13:30",FALSE,NA,"8,81868E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""","labrujaecuador",0,FALSE,FALSE,NA,NA,"Facebook ayudar<e1> a encontrar puntos cercanos de wifi gratis","Facebookayudar<e1>aencontrarpuntoscercanosdewifigratis",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"Miércoles Para escuchar #FelicesLos4 de @maluma me podrían complacer con esa música <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> @WQRadio_EC",FALSE,0,NA,"2017-07-13 22:47:26",FALSE,NA,"885631784565788672",NA,"<a href= http://twitter.com/download/android  rel= nofollow >Twitter for Android</a>","sweet_daniiiela",0,FALSE,FALSE,NA,NA,"Miércoles Para escuchar FelicesLos de maluma me podrían complacer con esa música dUAUBDedUBUCedUAUBCedUBEUBedUAUBDedUBUWQRadioC","MiércolesParaescucharFelicesLosdemalumamepodríancomplacerconesamúsicadUAUBDedUBUCedUAUBCedUBEUBedUAUBDedUBUWQRadioC",12347,389,386,709,"ecuador",0.548660084626234,"ECUADOR",25,NA
"<U+0093>En menos de 30 d<ed>as planteamos soluciones para atender el #pagojubilados, un problema que se viene arrastrando desde el 2010<U+0094> @radio_sucre",FALSE,4,NA,"2017-07-17 13:34:50",FALSE,NA,"886942271010209792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raulclementelh",7,FALSE,FALSE,NA,NA,"<U+0093>En menos de  d<ed>as planteamos soluciones para atender el pagojubiladosun problema que se viene arrastrando desde el <U+0094> radioucre","<U+0093>Enmenosded<ed>asplanteamossolucionesparaatenderelpagojubiladosunproblemaquesevienearrastrandodesdeel<U+0094>radioucre",22482,2741,254,432,NA,6.35416666666667,NA,25,0
"@CanelaRadioEc faltan 17 d<ed>as, el concierto es el 5/ago.",FALSE,0,"CanelaRadioEc","19/07/2017 14:36",FALSE,NA,"8,87683E+17","2411790656","<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","natasscc",1,FALSE,FALSE,NA,NA,"CanelaRadioEc faltan  d<ed>asel concierto es el go.","CanelaRadioEcfaltand<ed>aselconciertoeselgo.",211,261,101,219,NA,1.19178082191781,NA,25,0
"RT @DiianaVero: #JhonatanLunaEnelConciertoExa @ExaFmEcuador el motivaaaa ;) @alvaro_exa @veroBarragan76 #ConciertoExa2015 http://t.co/91ELk<U+0085>",FALSE,0,NA,"2017-07-21 13:39:41",FALSE,NA,"888393041769365504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VernicaVaca1",2,TRUE,FALSE,NA,NA,"JhonatanLunaEnelConciertoExa ExaFmEcuador el motivaaaa  alvaroxa veroBarragan ConciertoExa <U+0085>","JhonatanLunaEnelConciertoExaExaFmEcuadorelmotivaaaaalvaroxaveroBarraganConciertoExa<U+0085>",777,77,1136,53,"Ecuador",1.45283018867925,"ECUADOR",25,0
"¡Esta canción te prende! #PerroFiel de @shakira y @NickyJamPR en #CalentamientoRadialWQ #ComoMeGusta <ed><U+00A0><U+00BC><ed><U+00BE><U+00A4><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5>",FALSE,0,NA,"2017-07-14 20:26:00",FALSE,NA,"885958578380648448",NA,"<a href= http://twitter.com/download/android  rel= nofollow >Twitter for Android</a>","WQRadio_EC",0,FALSE,FALSE,NA,NA,"sta canción te prendePerroFiel de shakira y NickyJamPR en CalentamientoRadialWQ ComoMeGusta dUAUBCedUBEUAedUAUBCedUBEUBedUAUBCedUBEUBedUAUBCedUBEUBedUAUBCedUBEUB>","stacanciónteprendePerroFieldeshakirayNickyJamPRenCalentamientoRadialWQComoMeGustadUAUBCedUBEUAedUAUBCedUBEUBedUAUBCedUBEUBedUAUBCedUBEUBedUAUBCedUBEUB>",77414,17860,5274,426,"Guayaquil - Ecuador.",41.924882629108,"GUAYAQUIL - ECUADOR.",9,NA
