"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","depurado","sinEspacios","statusCount","followers","favorites","friends","location","relevancia","localidadMayusculas","codProv","factorPonderacion"
"RT @RocioGo36744219: @CanelaRadioEc .",FALSE,0,NA,"19/07/2017 13:13",FALSE,NA,"8,87662E+17",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","Charlie92766799",2,TRUE,FALSE,NA,NA,".",".",202,2,200,1,NA,2,NA,25,0
"<U+0091>Juego de Tronos<U+0092> regresa con luchas en un invierno m<e1>s fr<ed>o",FALSE,2,NA,"14/07/2017 21:30",FALSE,NA,"8,85975E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","labrujaecuador",1,FALSE,FALSE,NA,NA,"<U+0091>Juego de Tronos<U+0092> regresa con luchas en un invierno m<e1>s fr<ed>o","<U+0091>JuegodeTronos<U+0092>regresaconluchasenuninviernom<e1>sfr<ed>o",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"RT @Online_Rivera: @labrujaecuador \@labrujaecuador: <U+0091>Lo digo<U+0092>, una fiesta a la vida y a la alegr<ed>a dice @_CarlosRivera https://t.co/06sxC8<U+0085>""",FALSE,0,NA,"29/06/2017 16:53",FALSE,NA,"8,80469E+17",NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""","Tracey_2711",2,TRUE,FALSE,NA,NA,"<U+0091>Lo digo<U+0092>una fiesta a la vida y a la alegr<ed>a dice arlosRivera <U+0085>""","<U+0091>Lodigo<U+0092>unafiestaalavidayalaalegr<ed>adicearlosRivera<U+0085>""",73684,438,7163,9,"USA",48.6666666666667,"USA",25,0
"RT @labrujaecuador: <U+0091>Lo digo<U+0092>, una fiesta a la vida y a la alegr<ed>a dice Carlos Rivera https://t.co/OZe6VYZlpR",FALSE,0,NA,"04/07/2017 2:02",FALSE,NA,"8,82057E+17",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","KarenRiveristaE",8,TRUE,FALSE,NA,NA,"<U+0091>Lo digo<U+0092>una fiesta a la vida y a la alegr<ed>a dice Carlos Rivera","<U+0091>Lodigo<U+0092>unafiestaalavidayalaalegr<ed>adiceCarlosRivera",12814,282,5570,394,NA,0.715736040609137,NA,25,0
"<U+0091>Vivo pensando en ti<U+0092>, el reciente trabajo musical entre Felipe Pel<e1>ez y Maluma",FALSE,1,NA,"17/07/2017 16:00",FALSE,NA,"8,86979E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA,"<U+0091>Vivo pensando en ti<U+0092>el reciente trabajo musical entre Felipe Pel<e1>ez y Maluma","<U+0091>Vivopensandoenti<U+0092>elrecientetrabajomusicalentreFelipePel<e1>ezyMaluma",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"<U+0091>Wonder Woman 2<U+0092> se ambientar<ed>a en la d<e9>cada de los 80",FALSE,2,NA,"13/07/2017 2:00",FALSE,NA,"8,85318E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA,"<U+0091>Wonder Woman <U+0092> se ambientar<ed>a en la d<e9>cada de los","<U+0091>WonderWoman<U+0092>seambientar<ed>aenlad<e9>cadadelos",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"<U+0093>Chinatown<U+0094> forma parte del <e1>lbum de @liamgallaher",FALSE,0,NA,"05/07/2017 20:30",FALSE,NA,"8,82698E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""","labrujaecuador",0,FALSE,FALSE,NA,NA,"<U+0093>Chinatown<U+0094> forma parte del <e1>lbum de liamgallaher","<U+0093>Chinatown<U+0094>formapartedel<e1>lbumdeliamgallaher",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"<U+0093>Superfresh<U+0094> es el nuevo single de @jamiroquaihq",FALSE,0,NA,"13/07/2017 16:30",FALSE,NA,"8,85537E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA,"<U+0093>Superfresh<U+0094> es el nuevo single de jamiroquaihq","<U+0093>Superfresh<U+0094>eselnuevosingledejamiroquaihq",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"RT @maurylore22: @vagosconsuerte @belendelbien @CanelaRadioEc @DJDanielCruz @rpadpre @jalaldubois @PATOFORTUNY @CUCHITO1940 @negritoklinger<U+0085>",FALSE,0,NA,"14/07/2017 17:48",FALSE,NA,"8,85919E+17",NA,"<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Lite</a>","CanelaRadioEc",1,TRUE,FALSE,NA,NA,"<U+0085>","<U+0085>",39393,60934,2136,7,NA,8704.85714285714,NA,25,0
"Abrirte esa concha a punta de lengua @Pepetoala @Emersonmorocho @CanelaRadioEc",FALSE,0,NA,"06/07/2017 16:07",FALSE,NA,"8,82994E+17",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","Daniel0082",0,FALSE,FALSE,NA,NA,"Abrirte esa concha a punta de lengua Pepetoala Emersonmorocho CanelaRadioEc","AbrirteesaconchaapuntadelenguaPepetoalaEmersonmorochoCanelaRadioEc",187,16,5,77,"Ecuador",0.207792207792208,"ECUADOR",25,0
