"polaridad","indice","textoLeer"
0,1914,"Jajajajajaja <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2640><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/3n6E1e3KSj"
0,7200,"RT @raider3892: @LaOtraRadioec #Cobijasquito la canción es ""Que abría sido de mí"" de Víctor Manuel"
0,6203,"@WQRadio_EC  linda semana  xfa me podrian complacer con la hermosa cancion del bello de @MarquesMusica #unbrindisporti muchas gracias <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BE><U+00B8><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>"
0,1690,"@genuineverve celebra 2 d<e9>cadas de su disco Urban Hymns"
0,632,"@CanelaRadioEc  oscar de leon  de nacionalidad venezolana mi nombre daniel alvarado jimenes saludos"
0,5450,"@radioalfaec buenas tardes, me gustaría que pongan #ComoSiempre de @acholaterza cantante paraguayo <U+2764>"
0,4049,"RT @radio_sucre: Jhon Chancellor: Agradecimiento a toda la gente de Manta y a los hinchas por la gran confianza que me dieron.

#SucreDeport<U+0085>"
0,1911,"RT @elbopers: @CanelaRadioEc Jackson Castro"
0,6591,"Hoy el #M2 en el #MetroTOP20 junto a @KarlyCode es de @Minimmal con sus temas ""Bajo la Luz"" y ""Aucíname"" Dale Play… https://t.co/3KXoUnq1yM"
0,5434,"RT @PatriLandetta: @WQRadio_EC @QuesadaMusic @DouglasTRANZAS #QuédateConÉl https://t.co/BMhjyhngi3"
0,6617,"#JuevesConActitud junto a @KarlyCode through the #RouteofMusic! Te registro para el #MeetandGreet del @Quitofest co… https://t.co/l1KTI1ayGx"
0,87,"RT @MichelitapMero: A Oscar de Le<f3>n <U+2764> @CanelaRadioEc @Pepetoala una entradaaaa.

Michell Mero Mac<ed>as"
0,935,"@CanelaRadioEc      porfa pongan la nueva cancion de  @JBALVIN #migente <ed><U+00A0><U+00BD><ed><U+00B6><U+0092><ed><U+00A0><U+00BD><ed><U+00B6><U+0092> @jbalvin_ecuador"
0,5716,"Viernes Para escuchar #FelicesLos4 de @maluma me podrían complacer con esa música <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> @WQRadio_EC"
0,2245,"'El planeta de los simios' destrona al 'Hombre Ara<f1>a' en la taquilla de Norteam<e9>rica"
0,7363,"#EnamorateConLaOtra La vida es mejor compartirla entre 2 personas que miran hacia un  sendero en común. E-mail:  diegofe2010@hotmail.com"
0,6444,"RT @MetroStereo: <U+26A1><U+FE0F>Cool Morning<U+26A1><U+FE0F>Arrancamos tu semana con la energía de ""Promises"" by #TheCranberries en tu #Breakfast ft @Teff_Palacios <U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>…"
0,7971,"#Tauro Hoy recapacita sobre tus actos ya que no siempre vas a tener la razón, todos tenemos derecho a equivocarnos"
0,2618,"RT @RoseGoyburo: @CanelaRadioEc @Pepetoala Pepito no sabemos el segundo nombre de Hildita pero la cancion la canta Victor Manuelle."
0,7355,"#EnamorateConLaOtra Dama quiteña de 48 años,  Espera caballero profesional *  mariapiaintelectual@gmail.com"
0,5574,"Sonando #Attention de @charlieputh en 
@radioalfaec <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>y^o^y"
0,3564,"@rafl1989 @MIES_Zona5 @IvanEspinelM @vanessafreirev @InclusionEc @aldiacomec @MundoVEOVEO @radio_sucre @IEPS_Ec<U+0085> https://t.co/MCoV5azO65"
0,3380,"RT @radio_sucre: G. Almada: Me hubiese gustado contar con Caicedo y en cuanto a Aleman fue disposicion tecnica

#SucreDeportes"
0,5523,"RT @mariaccf377: @WQRadio_EC Saludos! Pueden tocar #AmigaCruel @Melibeamusica @GilmarLeon #ComoMeGusta #CalentamientoRadialWQ"
0,7899,"Se necesita con experiencia. Enviar currículum vitae a roxananca@gmail.com."
0,223,"@CanelaRadioEc  https://t.co/ot3ryIts9l"
0,3101,"Viernes Para escuchar #FelicesLos4 de @maluma me podr<ed>an complacer con esa m<fa>sica <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> @labrujaecuador"
0,5585,"@SoyFherWQradio Fercho buenas tardes me puedes complacer con #Loca de @MaiteOficial FT @Calidandee @WQRadio_EC #ComoMeGusta <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
