"polaridad","indice","textoLeer"
1,5669,"�Suena ahora #ComoUnaSombra de @servando y @florentino en #CalentamientoRadialWQ La Mejor M�sica en tus O�dos! <ed><U+00A0><U+00BD><ed><U+00B1><U+0082><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5>"
1,1585,"RT @labrujaecuador: @JohnPeterMusic estuvo con nosotros en HECHIZO solo por la n<fa>mero 1 @labrujaecuador https://t.co/LBNDicBMAE"
0,3471,"RT @FutGooolEc: Llega @SanLorenzo para su entrenamiento en la cancha Alterna del Monumental.







Informa @Jrnochi



V<ed>deo @Radio_Sucre. https://<U+0085>"
1,1547,"RT @flcatomala2439: @Pepetoala @CanelaRadioEc  es lorena . Y la canta victor manuell"
0,1608,"Facebook ayudar<e1> a encontrar puntos cercanos de wifi gratis"
1,5303,"Mi�rcoles Para escuchar #FelicesLos4 de @maluma me podr�an complacer con esa m�sica <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> @WQRadio_EC"
0,3674,"<U+0093>En menos de 30 d<ed>as planteamos soluciones para atender el #pagojubilados, un problema que se viene arrastrando desde el 2010<U+0094> @radio_sucre"
1,458,"@CanelaRadioEc faltan 17 d<ed>as, el concierto es el 5/ago."
0,3445,"RT @DiianaVero: #JhonatanLunaEnelConciertoExa @ExaFmEcuador el motivaaaa ;) @alvaro_exa @veroBarragan76 #ConciertoExa2015 http://t.co/91ELk<U+0085>"
1,5610,"�Esta canci�n te prende! #PerroFiel de @shakira y @NickyJamPR en #CalentamientoRadialWQ #ComoMeGusta <ed><U+00A0><U+00BC><ed><U+00BE><U+00A4><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5>"
0,7641,"#Libra Hoy es momento de alejarse de esas personas que solo buscan presionarla, es mejor que busque un lugar mas tranquilo."
0,5133,"�AHORA EMPIEZA A VOTAR! <ed><U+00A0><U+00BC><ed><U+00BE><U+00A7> 

<ed><U+00A0><U+00BD><ed><U+00B4><U+009C> As� tu canci�n favorita estar� en nuestro #ALFATOP20

�Cu�l es la mejor para ti ? <ed><U+00A0><U+00BC><ed><U+00B5><U+00B0><ed><U+00A0><U+00BD><ed><U+00B4><U+00A0><ed><U+00A0><U+00BC><ed><U+00B5><U+00B1>

A� https://t.co/95qOXG7gU3"
1,1789,"Hola @CanelaRadioEc puede poner #Devu<e9>lvemeElCoraz<f3>n d @SebastianYatra porfavor @SebastianYatraE @GomiTwiin @andradedirak @UniversalMusicE"
