"polaridad","indice","textoLeer"
1,1409,"RT @thaliayalberto: @CanelaRadioEc  @Pepetoala  el faraon de la salsa #Oscar D'Leon 

Thalia Quito"
0,6407,"20 aniooosss <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> https://t.co/B46hRc6cQd"
0,7419,"Excelente sueldo y beneficios de ley. (04)2-801404; (04)2-801405; rrhh@fullpacktex.com.ec."
1,5107,"Hola @WQRadio_EC  pueden poner toda la noche de @JostinRamirezp  @soywilsonfranco  @melivm27"
0,3757,"@camilin86 @radio_sucre: Paz <U+0093>Les dije a los jugadores se comieron un<U+00A0>t<e9>cnico<U+0094> https://t.co/ogqiGKSXK4"
0,3582,"Sonando en @ExaFmEcuador ONE MILLON PEOPLE <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> 



@oval_sound @mxkthy"
0,701,"@CanelaRadioEc @Pepetoala estadounidense Janeth flores"
0,2864,"Sigue el recorrido y llegada de @MashiRafael al aeropuerto de #Tababela a trav<e9>s de FB LIVE:<U+0085> https://t.co/sv4vajEWH7"
0,3696,"RT @gloriaandrader: Agenda de eventos por mes de Guayaquil de la @GoberdelGuayas Cc: @VannyCentanaroV @ecu911sambo @Cristian_pinoar @radio_<U+0085>"
0,1313,"RT @stefamatyualex: <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B8><U+008A>  

#DaddyEnQuito 

<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

@CanelaRadioEc 

<ed><U+00A0><U+00BD><ed><U+00B9><U+008B>yo kiero ir xfis"
0,1462,"RT @ladymelanie96: @CanelaRadioEc @Pepetoala  el segundo nombre de Hildita es muy dificil, la cancion la canta Victor Manuelle."
1,2374,"Nuevo amor de Rihanna sal<ed>a con Naomi Campbell https://t.co/uigrFsQ2c8"
0,4371,"RT @princesa1hada: @radio_sucre Somos libres de construir en nuestro territorio lo que sea y el Per<fa> por estar con mucho armamento no nos i<U+0085>"
0,3691,"""Radio Monta<f1>a 3 Oficial"": Precipitaciones d<e9>biles en Sucre, Anzo<e1>tegui, Mira... https://t.co/eIyrgsy5r8"
0,7266,"RT @javilichito: @LaOtraRadioec  
#conlascobijasalaire
Saludo para Maite y Estefania que van con la abuelita a pasear"
0,6603,"Hoy @Teff_Palacios increíble inicio de martes! Con Disturb, Metallica, Drowning pool, etc. Saludos a todos allá en cabina @MetroStereo"
0,4447,"@wironayib91 @IGecuador @radio_sucre Ahhh con razon"
0,6658,"Llega tu momento de votar en el Vs <ed><U+00A0><U+00BE><ed><U+00B4><U+009C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BE><ed><U+00B4><U+009B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> de #SonidosTricolor<ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00A8> x #RainRockBand o @LolasRiot para un M2 #Breakfast ft @Teff_Palacios"
1,5579,"Sonando #UnAmorDeVerdad de @ReikMx en @WQRadio_EC <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
Cc. @MundoReikEc"
0,4810,"En #WQNoticias con la Lcda. Daniela Fernández, Directora de la Unidad Profesionalizantes de @ucasagrande.
Escucha… https://t.co/Z8PoHcJDO7"
0,6508,"RT @claudiomartino: Encuesta #MetroStereo:
¿Cual es tu década musical favorita?
Cc @majogm"
0,7362,"#EnamorateConLaOtra Hombre de buena talla y lindos ojos, soy  ingeniero y busco una mujer en Quito
E-mail:   fuegoenelcorazon15@hotmail.com"
0,3693,"@AdriOsorioLuna Incre<ed>ble @ecuavisa @radiocentroec @radio_sucre"
0,2052,"@labrujaecuador no gusta hablan demasiado <ed><U+00A0><U+00BD><ed><U+00B8><U+00B0><ed><U+00A0><U+00BD><ed><U+00B8><U+00B0>"
0,7920,"Se solicita con experiencia en máquina recta, overlock, recubridora. 099-4544128."
1,2494,"@Pepetoala  @CanelaRadioEc Gitana de Willy Colon mi nombre es Holger Aroca y soy de Guayaquil..."
0,4255,"RT @radio_sucre: Paz <U+0093>Les dije a los jugadores se comieron un<U+00A0>t<e9>cnico<U+0094> https://t.co/MblsfRapfi"
0,4472,"RT @silvitabuendia: Al aire en @WQRadio_EC para hablar sobre femicidio y violencia de género"
0,3751,"Brutal represi<f3>n chavista en Barinas: un joven qued<f3> inconsciente tras una golpiza de la<U+0085> https://t.co/NhptRfeaYx https://t.co/hOjnovwrp9"
0,5866,"#WQNoticias Ecuador busca convertirse en verdadera potencia turística aplicando la fórmula del 1x1, igual en habita… https://t.co/t86nNa5aFC"
0,4142,"@MIES_Zona8 @GeovannyCanar @RolandoNavarroM @ronald_chavezo @DrWilliamPlua @IvanEspinelM @GoberdelGuayas<U+0085> https://t.co/2qbcMTOXFz"
