"polaridad","indice","textoLeer"
1,192,"RT @dayanataly94: Buen dia @labrujaecuador me podrian complacer  con la canci<f3>n  #NiReggaetonNiRock de @GenaroMeCachas @KiaveNove gracias <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
0,6923,"RT @mamavudu: #suena retorno en @MetroStereo #sayce @sayceoficial"
0,1453,"RT @JovenesxRafael: El recorrido de despedida de nuestro l<ed>der @MashiRafael ser<e1> transmitido en vivo por @canelaradioec y @RADIOAMERICAEC #<U+0085>"
0,2408,"RT @ma_pilla: @CanelaRadioEc Oscar de Le<f3>n.... Mar<ed>a P<ed>a Arboleda  alvear"
0,209,"RT @jessi_yance: @CanelaRadioEc  buenos dias porfis quiero una entrada al convierto de salsa gracias.."
1,6223,"@WQRadio_EC me podrian complacer con #Ven de @PabloJaraEc Gracias #SueñaCantaAma"
0,1970,"@KidRock se postula para el Senado de EEUU"
0,7914,"Señora, puertas adentro, todo oficio, 4 ñiños, limpeza y cocina y ropa. Solo Interesados. 0986701520."
0,6041,"@WQRadio_EC @AmericoOficial Que Rico !!!!pero sera solo para Ecuador @AmericoOficial si sabes seria maravilloso esc… https://t.co/qYNZricwyI"
0,3943,"G. Almada: Dios quiera nunca vaya a ocurrir una desgracias jugando a estas horas, con el sol y en esta altura, pero cada uno busca ventaja"
0,8027,"Ventas - sueldo básico, viaticos, incentivos, premios.  deltapower2017@gmail.com."
0,4406,"Un comando armado irrumpi<f3> en una fiesta familiar en M<e9>xico y asesin<f3> a 11<U+00A0>personas https://t.co/MVYqsm5tmy https://t.co/WtG3VCaoeR"
0,22,"RT @labrujaecuador: Actor que dej<f3> \The Walking Dead\"" cree que los escritores no sab<ed>an qu<e9> hacer con su personaje https://t.co/CezPsxMUlf"""
0,2956,"The Weeknd est<e1> locamente enamorado de Selena Gomez https://t.co/S6fNjO7uW1"
0,6549,"RT @ArgotiPablo: @Karlycode genial tarde

Xfa inscribeme para el 2do día del @Quitofest soy Pablo Argoti de Quito mi <U+260E> 0984932135

La @MetroS…"
0,4745,"Disfrutas de #Cobarde de @DANIELPAEZMusic en #OxígenoWQ https://t.co/jZOZ9WiT4U  <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>"
0,2280,"Marc Anthony ahora sale con una modelo italiana https://t.co/uKbS0mECXC"
0,3047,"@vagosconsuerte @CanelaRadioEc @rpadpre @ExxonDj @jalaldubois Vagos, manden un pollito para las guaguas de Firmesa."
0,1696,"Gillian Anderson critica la falta de mujeres en el equipo de \The X-Files\"""""
1,6074,"@WQRadio_EC @Anibal24Smith en #OxigenoWQ quiero escuchar el remix de #MásQueAyer d @rkmoficial y @ken_y_official ft Arcangel &amp, DeLaGhetto<ed><U+00A0><U+00BD><ed><U+00B1><U+00BD>"
1,1840,"Hola @labrujaecuador  porfa podr<ed>an poner #HeyDJ de @CNCOmusic y env<ed>en un saludo al mejor fandom @CNCOEcuadorVIP gracias <U+2764><U+2764>"
0,703,"@CanelaRadioEc @Pepetoala es Victor Manuel soy gabriella sovenis"
0,7267,"RT @javilichito: @LaOtraRadioec 

#conlascobijasalaire 

Un saludo especial. Para Alex Cordova por su cumple de parte de johis"
1,4655,"Buenos días Anibal @WQRadio_EC nos puedes complacer con lo nuevo de @MaiteOficial ft @Calidandee #loca #WQcomoMegusta. Gracias"
1,7514,"Jueves Para escuchar #FelicesLos4 de @maluma me podrían complacer con esa música <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> @LaOtraRadioec"
0,6715,"@MetroStereo @gunsnroses @offspring R amstein

O bituary

B asca

E pica

R ed hot chilli papers

T otal Death

O peth

Roberto Miño. UIO."
0,6416,"RT @Teff_Palacios: Arrancamos promo en tu @MetroStereo para llevarte al @Quitofest <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> https://t.co/HDmujYr0FX"
0,8036,"#Virgo Hoy aprenderás muchas cosas pero de la peor manera y esto te va a hacer madurar rápidamente y mejorar en tu vida"
0,3905,"<c9>stos son los pa<ed>ses m<e1>s haraganes del mundo seg<fa>n los datos recopilados por los<U+0085> https://t.co/wRMedBnL9L https://t.co/mFodMwC8IG"
1,5224,"Linda noche para escuchar #voyabuscarelamor de @JoelyBrian x #lanochewq @WQRadio_EC con @angelochoar y la  #promoecuadorjyb"
0,7203,"RT @dianamilena2611: #CobijasQuito @LaOtraRadioec Salsa Viva Milena Peña #164 <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>"
0,6796,"Mira cómo será esta despedida aquí <ed><U+00A0><U+00BE><ed><U+00B4><U+0098> <U+27A4> https://t.co/h7CogJamsk"
0,302,"@CanelaRadioEc #DaddyEnQuito #DaddyenQuito #DaddyEnQuito #DaddyEnQuito"
0,5181,"¡Disfrutas de #VolverteaVer de @neiramusica ahora en #CalentamientoRadialWQ <ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5>"
