"text","polaridadSVM"
"<U+00A1>Suena ahora #ComoUnaSombra de @servando y @florentino en #CalentamientoRadialWQ La Mejor M<fa>sica en tus O<ed>dos! <ed><U+00A0><U+00BD><ed><U+00B1><U+0082><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5>",0
"RT @labrujaecuador: @JohnPeterMusic estuvo con nosotros en HECHIZO solo por la n<fa>mero 1 @labrujaecuador https://t.co/LBNDicBMAE",0
"RT @FutGooolEc: Llega @SanLorenzo para su entrenamiento en la cancha Alterna del Monumental.



Informa @Jrnochi

V<ed>deo @Radio_Sucre. https://<U+0085>",0
"RT @flcatomala2439: @Pepetoala @CanelaRadioEc  es lorena . Y la canta victor manuell",0
"Facebook ayudar<e1> a encontrar puntos cercanos de wifi gratis",0
"Mi<e9>rcoles Para escuchar #FelicesLos4 de @maluma me podr<ed>an complacer con esa m<fa>sica <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> @WQRadio_EC",1
"<U+0093>En menos de 30 d<ed>as planteamos soluciones para atender el #pagojubilados, un problema que se viene arrastrando desde el 2010<U+0094> @radio_sucre",0
"@CanelaRadioEc faltan 17 d<ed>as, el concierto es el 5/ago.",0
"RT @DiianaVero: #JhonatanLunaEnelConciertoExa @ExaFmEcuador el motivaaaa ;) @alvaro_exa @veroBarragan76 #ConciertoExa2015 http://t.co/91ELk<U+0085>",0
"<U+00A1>Esta canci<f3>n te prende! #PerroFiel de @shakira y @NickyJamPR en #CalentamientoRadialWQ #ComoMeGusta <ed><U+00A0><U+00BC><ed><U+00BE><U+00A4><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5>",1
"#Libra Hoy es momento de alejarse de esas personas que solo buscan presionarla, es mejor que busque un lugar mas tranquilo.",0
"<U+00A1>AHORA EMPIEZA A VOTAR! <ed><U+00A0><U+00BC><ed><U+00BE><U+00A7> 
<ed><U+00A0><U+00BD><ed><U+00B4><U+009C> As<ed> tu canci<f3>n favorita estar<e1> en nuestro #ALFATOP20
<U+00BF>Cu<e1>l es la mejor para ti ? <ed><U+00A0><U+00BC><ed><U+00B5><U+00B0><ed><U+00A0><U+00BD><ed><U+00B4><U+00A0><ed><U+00A0><U+00BC><ed><U+00B5><U+00B1>
A<U+0085> https://t.co/95qOXG7gU3",0
"Hola @CanelaRadioEc puede poner #Devu<e9>lvemeElCoraz<f3>n d @SebastianYatra porfavor @SebastianYatraE @GomiTwiin @andradedirak @UniversalMusicE",1
"@CompaTeran @ControlMinero @CristinaSilvaEc @JavierCordovaEC @economista33 @CNACEcuador @TurismoEc @Ambiente_Ec<U+0085> https://t.co/mAXH5xjgAT",0
