"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","depurado","sinEspacios","statusCount","followers","favorites","friends","location","relevancia1","localidadMayusculas","codProv","factorPonderacion"
"#Aerodato<ed><U+00A0><U+00BD><ed><U+00B3><U+009D>¡Aerosmith es el grupo estadounidense con mayor número de discos de oro y platino!<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> @MetroStereo ¡Radio O… https://t.co/OgBffWH3tj",FALSE,3,NA,"2017-07-18 21:30:17",TRUE,NA,887424307869208576,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RockShoutFest",3,FALSE,FALSE,NA,NA,"AerodatodUAUBDedUBUDAerosmith es el grupo estadounidense con mayor número de discos de oro y platinoedUAUBCedUBFUMetroStereo adio O… ","AerodatodUAUBDedUBUDAerosmitheselgrupoestadounidenseconmayornúmerodediscosdeoroyplatinoedUAUBCedUBFUMetroStereoadioO…",1324,1049,669,1555,"",0.67459807073955,"",25,0
"RT @RockShoutFest: #Aerodato<ed><U+00A0><U+00BD><ed><U+00B3><U+009D>¡Aerosmith es el grupo estadounidense con mayor número de discos de oro y platino!<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> @MetroStereo ¡Radio Oficia…",FALSE,0,NA,"2017-07-18 21:41:35",FALSE,NA,887427151414390784,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KarlyCode",3,TRUE,FALSE,NA,NA,"AerodatodUAUBDedUBUDAerosmith es el grupo estadounidense con mayor número de discos de oro y platinoedUAUBCedUBFUMetroStereo adio Oficia…","AerodatodUAUBDedUBUDAerosmitheselgrupoestadounidenseconmayornúmerodediscosdeoroyplatinoedUAUBCedUBFUMetroStereoadioOficia…",6168,1990,2067,871,"Quito-Ecuador",2.28473019517796,"QUITO-ECUADOR",17,0
"... a escuchar sus otras bandas. El siguiente es Dead By Sunrise. Sonando aquí en El Vagón Alternativo @vagonalt",FALSE,1,NA,"2017-07-23 01:10:15",FALSE,NA,888929215315410944,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",0,FALSE,FALSE,NA,NA,"a escuchar sus otras bandasEl siguiente es Dead By SunriseSonando aquí en El Vagón Alternativo vagonalt","aescucharsusotrasbandasElsiguienteesDeadBySunriseSonandoaquíenElVagónAlternativovagonalt",16214,11953,5997,909,"Quito, Ecuador",13.1496149614961,"QUITO, ECUADOR",17,0
"... a escuchar sus otras bandas. El siguiente es Grey Daze. Sonando aquí en El Vagón Alternativo @vagonalt https://t.co/FYm0dZxcAQ",FALSE,3,NA,"2017-07-23 00:42:29",FALSE,NA,888922231384018944,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",0,FALSE,FALSE,NA,NA,"a escuchar sus otras bandasEl siguiente es Grey DazeSonando aquí en El Vagón Alternativo vagonalt ","aescucharsusotrasbandasElsiguienteesGreyDazeSonandoaquíenElVagónAlternativovagonalt",16214,11953,5997,909,"Quito, Ecuador",13.1496149614961,"QUITO, ECUADOR",17,0
"a escuchar sus otras bandas.Siguiente es cuando Chester canto y grabo con Stone Temple Pilots.Sonando aquí en El Va… https://t.co/1aeWjP6TVW",FALSE,2,NA,"2017-07-23 01:21:41",TRUE,NA,888932092394053632,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",0,FALSE,FALSE,NA,NA,"a escuchar sus otras bandasiguiente es cuando Chester canto y grabo con Stone Temple Pilotsonando aquí en El Va… ","aescucharsusotrasbandasiguienteescuandoChestercantoygraboconStoneTemplePilotsonandoaquíenElVa…",16214,11953,5997,909,"Quito, Ecuador",13.1496149614961,"QUITO, ECUADOR",17,0
"RT @MetroStereo: a escuchar sus otras bandas.Siguiente es cuando Chester canto y grabo con Stone Temple Pilots.Sonando aquí en El Vagón Alt…",FALSE,0,NA,"2017-07-23 23:04:47",FALSE,NA,889260029320343552,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Klaus_lema",1,TRUE,FALSE,NA,NA,"a escuchar sus otras bandasiguiente es cuando Chester canto y grabo con Stone Temple Pilotsonando aquí en El Vagón Alt…","aescucharsusotrasbandasiguienteescuandoChestercantoygraboconStoneTemplePilotsonandoaquíenElVagónAlt…",94,48,200,89,"Ecuador",0.539325842696629,"ECUADOR",25,0
"... a escuchar sus otras bandas. Primero es Sean Dowdell and His Friends. Sonando aquí en El Vagón Alternativo… https://t.co/0p0j3mD1Ct",FALSE,2,NA,"2017-07-23 00:34:40",TRUE,NA,888920261046788096,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",0,FALSE,FALSE,NA,NA,"a escuchar sus otras bandasPrimero es Sean Dowdell and His FriendsSonando aquí en El Vagón Alternativo… ","aescucharsusotrasbandasPrimeroesSeanDowdellandHisFriendsSonandoaquíenElVagónAlternativo…",16214,11953,5997,909,"Quito, Ecuador",13.1496149614961,"QUITO, ECUADOR",17,0
"RT @sauronid: Ahora en la terapia física me ponen @MetroStereo y le escuchaba a @Teff_Palacios 
Que buena canción la de rain!!!!",FALSE,0,NA,"2017-07-17 13:07:26",FALSE,NA,886935374257377280,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",1,TRUE,FALSE,NA,NA,"Ahora en la terapia física me ponen MetroStereo y le escuchaba a Teffalacios 
Que buena canción la de rain","AhoraenlaterapiafísicameponenMetroStereoyleescuchabaaTeffalaciosQuebuenacanciónladerain",16214,11953,5997,909,"Quito, Ecuador",13.1496149614961,"QUITO, ECUADOR",17,0
"Ahorita en El Vagón Alternativo están escuchando dos rarezas con the Ramones y The Smiths. INCREDIBLE! Que les pare… https://t.co/Lb7WvChkRD",FALSE,8,NA,"2017-07-23 00:09:00",TRUE,NA,888913803945050112,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",0,FALSE,FALSE,NA,NA,"Ahorita en El Vagón Alternativo están escuchando dos rarezas con the Ramones y The SmithsINCREDIBLEQue les pare… ","AhoritaenElVagónAlternativoestánescuchandodosrarezascontheRamonesyTheSmithsINCREDIBLEQuelespare…",16214,11953,5997,909,"Quito, Ecuador",13.1496149614961,"QUITO, ECUADOR",17,0
"RT @MetroStereo: Ahorita en El Vagón Alternativo están escuchando dos rarezas con the Ramones y The Smiths. INCREDIBLE! Que les parece?? ht…",FALSE,0,NA,"2017-07-23 16:13:45",FALSE,NA,889156590057775104,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jv1022",1,TRUE,FALSE,NA,NA,"Ahorita en El Vagón Alternativo están escuchando dos rarezas con the Ramones y The SmithsINCREDIBLEQue les parece ht…","AhoritaenElVagónAlternativoestánescuchandodosrarezascontheRamonesyTheSmithsINCREDIBLEQuelespareceht…",5781,82,203,136,"Guayaquil",0.602941176470588,"GUAYAQUIL",9,0
