"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated","depurado","sinEspacios","statusCount","followers","favorites","friends","location"
"2017-07-08",0,FALSE,883842442633588736,TRUE,NA,NA,NA,NA,NA,1,FALSE,"barcelucho85","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @radio_sucre: 30’ 1T   Goolll de Anangonó @LDU_Oficial  3-0  @Clan_juvenil
#FutbolEcuatorianoPorSucre",FALSE,"’ T   Goolll de Anangonó LDUficial    Clanuvenil
FutbolEcuatorianoPorSucre","’TGoollldeAnangonóLDUficialClanuvenilFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador"
"2017-07-08",0,FALSE,883812971323035648,TRUE,NA,NA,NA,NA,NA,1,FALSE,"barcelucho85","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @radio_sucre: 4’ 2T Goolll de De Jesús @IDV_EC  0-2 @elnacionalec
#FutbolEcuatorianoPorSucre",FALSE,"’ T Goolll de De Jesús IDVC   elnacionalec
FutbolEcuatorianoPorSucre","’TGoollldeDeJesúsIDVCelnacionalecFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador"
"2017-07-08",0,FALSE,883833246987030528,TRUE,NA,NA,NA,NA,NA,1,FALSE,"barcelucho85","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @radio_sucre: 8’ 1T  Goollll de Canga  @LDU_Oficial  1-0  @Clan_juvenil
#FutbolEcuatorianoPorSucre",FALSE,"’ T  Goollll de Canga  LDUficial    Clanuvenil
FutbolEcuatorianoPorSucre","’TGoolllldeCangaLDUficialClanuvenilFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador"
"2017-07-08",0,FALSE,883851378405367808,TRUE,NA,NA,NA,NA,NA,1,FALSE,"barcelucho85","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @radio_sucre: 21’ 2T  Goool de Salaberry  @LDU_Oficial  4-0  @Clan_juvenil
#FutbolEcuatorianoPorSucre",FALSE,"’ T  Goool de Salaberry  LDUficial    Clanuvenil
FutbolEcuatorianoPorSucre","’TGoooldeSalaberryLDUficialClanuvenilFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador"
"2017-07-08",0,FALSE,883835598573903872,TRUE,NA,NA,NA,NA,NA,1,FALSE,"barcelucho85","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @radio_sucre: 13’ 1T    Gooolll de Barcos   @LDU_Oficial   2-0  @Clan_juvenil
#FutbolEcuatorianoPorSucre",FALSE,"’ T    Gooolll de Barcos   LDUficial     Clanuvenil
FutbolEcuatorianoPorSucre","’TGooollldeBarcosLDUficialClanuvenilFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador"
"2017-07-08",0,FALSE,883859771174137856,TRUE,NA,NA,NA,NA,NA,1,FALSE,"barcelucho85","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @radio_sucre: 33’ 2T  Gooolll de Quiñonez @LDU_Oficial  5-0  @Clan_juvenil #FutbolEcuatorianoPorSucre",FALSE,"’ T  Gooolll de Quiñonez LDUficial    Clanuvenil FutbolEcuatorianoPorSucre","’TGooollldeQuiñonezLDUficialClanuvenilFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador"
"2017-07-08",0,FALSE,883848969448828928,TRUE,NA,NA,NA,NA,NA,1,FALSE,"martin97_ne","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @radio_sucre: 10’ 2T  @LDU_Oficial  3-0 @Clan_juvenil
#FutbolEcuatorianoPorSucre",FALSE,"’ T  LDUficial   Clanuvenil
FutbolEcuatorianoPorSucre","’TLDUficialClanuvenilFutbolEcuatorianoPorSucre",48074,237,4006,761,"Cuenca-Ecuador"
"2017-07-11",0,FALSE,884745753041809408,TRUE,NA,NA,NA,NA,NA,5,FALSE,"Miryam42263978","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Jaqueli44063126: @MIES_Zona5 @vanessafreirev @InclusionEc @aldiacomec @radio_sucre @RadioLibre9 @lahoralosriosec @DetectiveDiario @Mund…",FALSE,"…","…",129,9,5,41,"Buena Fe, Ecuador"
"2017-07-09",0,FALSE,884126480862556160,TRUE,NA,NA,NA,NA,NA,1,FALSE,"LuisJFigueroaS","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","RT @radio_sucre: A. Arias: Ahora tenemos que enfocarnos en la segunda etapa
#SucreDeportes",FALSE,"AAriasAhora tenemos que enfocarnos en la segunda etapa
SucreDeportes","AAriasAhoratenemosqueenfocarnosenlasegundaetapaSucreDeportes",12384,734,376,1033,"Guayaquil "
"2017-07-02",0,FALSE,881677900692500480,FALSE,NA,NA,881663014864334848,"abdonbermeo",761969208,0,FALSE,"Erick94Chamo","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","@abdonbermeo @radio_sucre El  sabe que no va a ganar la segunda etapa por eso lo dijo<ed><U+00A0><U+00BD><ed><U+00B8><U+00A3> @CSEmelec",FALSE,"abdonbermeo radioucre El  sabe que no va a ganar la segunda etapa por eso lo dijodUAUBDedUBUACSEmelec","abdonbermeoradioucreElsabequenovaaganarlasegundaetapaporesolodijodUAUBDedUBUACSEmelec",4766,83,4411,529,"Manta, Ecuador"
"2017-07-10",0,FALSE,884507340829061120,TRUE,NA,NA,NA,NA,NA,1,FALSE,"ChavezSolcito5","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @radio_sucre: Accidente deja al menos 9 muertos y 36 heridos https://t.co/RXmz4ZlrtT https://t.co/GwM6KgV8JX",FALSE,"Accidente deja al menos  muertos y  heridos  ","Accidentedejaalmenosmuertosyheridos",76,701,0,595,"Quito, Ecuador"
"2017-07-05",0,FALSE,882582496961081344,TRUE,NA,NA,NA,NA,NA,2,FALSE,"DarwinLoorA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @radio_sucre: Accidente en Alemania https://t.co/8wuN5uT3I7 https://t.co/2gdeiNUyw0",FALSE,"Accidente en Alemania  ","AccidenteenAlemania",11446,121,39,910,""
"2017-07-09",0,FALSE,884116968260980736,FALSE,NA,NA,883816094804434944,"AdriOsorioLuna",110915933,0,FALSE,"Emymackliff","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@AdriOsorioLuna Increíble @ecuavisa @radiocentroec @radio_sucre",FALSE,"AdriOsorioLuna Increíble ecuavisa radiocentroec radioucre","AdriOsorioLunaIncreíbleecuavisaradiocentroecradioucre",4801,138,1350,191,""
"2017-07-10",0,FALSE,884610121191522304,TRUE,NA,NA,NA,NA,NA,1,FALSE,"Jrnochi","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @radio_sucre: AFE denuncia irregularidades en contratos de equipos https://t.co/jrRLCCY4gU",FALSE,"AFE denuncia irregularidades en contratos de equipos ","AFEdenunciairregularidadesencontratosdeequipos",48760,4432,9,1385,"Guayaquil -  Ecuador"
"2017-07-10",0,FALSE,884469449285410816,TRUE,NA,NA,NA,NA,NA,1,FALSE,"Josebazur","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @radio_sucre: Ahora en Tía Calidad Variedad y Economía todo a $1.99 https://t.co/MaDt7rdmcj",FALSE,"Ahora en Tía Calidad Variedad y Economía todo a  ","AhoraenTíaCalidadVariedadyEconomíatodoa",2265,114,186,425,"Ecuador"
"2017-07-10",0,FALSE,884512696162541568,TRUE,NA,NA,NA,NA,NA,1,FALSE,"SilvioRivera7","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @radio_sucre: Al escuchar la Rueda de Prensa de la AFE, Luis Chango, Directivo de Mushuc Runa dice que hay una persecución contra El.
#S…",FALSE,"Al escuchar la Rueda de Prensa de la AFELuis ChangoDirectivo de Mushuc Runa dice que hay una persecución contra ElS…","AlescucharlaRuedadePrensadelaAFELuisChangoDirectivodeMushucRunadicequehayunapersecucióncontraElS…",12700,74,13955,466,""
"2017-07-18 23:12:22",2,FALSE,887450000896249856,FALSE,NA,NA,887408825137057792,"alvaro_exa",189629902,2,FALSE,"kate1982marilyn","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@alvaro_exa @ExaFmEcuador Deseo ver en el #ConciertoExa2017 a #CarlosRivera  #YoCreoEnLaRadio los escucho siempre <ed><U+00A0><U+00BD><ed><U+00B9><U+0086><ed><U+00A0><U+00BD><ed><U+00B9><U+0086><ed><U+00A0><U+00BD><ed><U+00B9><U+0086>",FALSE,"alvaroxa ExaFmEcuador Deseo ver en el ConciertoExa a CarlosRivera  YoCreoEnLaRadio los escucho siempre dUAUBDedUBUedUAUBDedUBUedUAUBDedUBU>","alvaroxaExaFmEcuadorDeseoverenelConciertoExaaCarlosRiveraYoCreoEnLaRadiolosescuchosiempredUAUBDedUBUedUAUBDedUBUedUAUBDedUBU>",2647,19,1606,65,""
