"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","depurado","sinEspacios","statusCount","followers","favorites","friends","location","relevancia1","localidadMayusculas","codProv","factorPonderacion"
"90<U+0092>  @BarcelonaBSC  2-0 @FuerzAmarillaSC
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-22 02:35:01,FALSE,NA,888588162557194240,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092>  BarcelonaBSC   FuerzAmarillaSC
FutbolEcuatorianoPorSucre","<U+0092>BarcelonaBSCFuerzAmarillaSCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"53<U+0092>  @BarcelonaBSC  2-0  @FuerzAmarillaSC  Sale Laurito y entra Wila en F. Amarilla
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-22 01:58:03,FALSE,NA,888578856562642944,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092>  BarcelonaBSC    FuerzAmarillaSC  Sale Laurito y entra Wila en FAmarilla
FutbolEcuatorianoPorSucre","<U+0092>BarcelonaBSCFuerzAmarillaSCSaleLauritoyentraWilaenFAmarillaFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"88<U+0092>  Golll de Rizotto @UCatolicaEC 0-3 @IDV_EC
#FutbolEcuatorianoPorSucre",FALSE,1,NA,2017-07-15 18:50:26,FALSE,NA,886296916388171776,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",2,FALSE,FALSE,NA,NA,"<U+0092>  Golll de Rizotto UCatolicaEC  IDVC
FutbolEcuatorianoPorSucre","<U+0092>GollldeRizottoUCatolicaECIDVCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"69<U+0092>  Gooolll de Matamoros  @GuayaquilCityFC  1-1   @CSEmelec
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-22 02:26:39,FALSE,NA,888586057364713472,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",1,FALSE,FALSE,NA,NA,"<U+0092>  Gooolll de Matamoros  GuayaquilCityFC     CSEmelec
FutbolEcuatorianoPorSucre","<U+0092>GooollldeMatamorosGuayaquilCityFCCSEmelecFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"90<U+0092>   @GuayaquilCityFC  1-1   @CSEmelec
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-22 02:46:31,FALSE,NA,888591054303264768,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092>   GuayaquilCityFC     CSEmelec
FutbolEcuatorianoPorSucre","<U+0092>GuayaquilCityFCCSEmelecFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"45<U+0092> 1T   @BarcelonaBSC  2-0 @FuerzAmarillaSC
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-22 01:32:11,FALSE,NA,888572348554780672,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T   BarcelonaBSC   FuerzAmarillaSC
FutbolEcuatorianoPorSucre","<U+0092>TBarcelonaBSCFuerzAmarillaSCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"10<U+0092> 1T    @BarcelonaBSC  vs @FuerzAmarillaSC
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-22 00:57:03,FALSE,NA,888563505531584512,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T    BarcelonaBSC  vs FuerzAmarillaSC
FutbolEcuatorianoPorSucre","<U+0092>TBarcelonaBSCvsFuerzAmarillaSCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"45<U+0092> 2T @CSEmelec   1-1  @elnacionalec 
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-16 23:23:50,FALSE,NA,886728110678441984,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T CSEmelec     elnacionalec 
FutbolEcuatorianoPorSucre","<U+0092>TCSEmelecelnacionalecFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"48<U+0092> 2T Gooll de penal de Vides @CSEmelec   2-1  @elnacionalec 
#FutbolEcuatorianoPorSucre",FALSE,2,NA,2017-07-16 23:27:15,FALSE,NA,886728967931265024,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",2,FALSE,FALSE,NA,NA,"<U+0092> T Gooll de penal de Vides CSEmelec     elnacionalec 
FutbolEcuatorianoPorSucre","<U+0092>TGoolldepenaldeVidesCSEmelecelnacionalecFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"RT @radio_sucre: 30<U+0092> 1T   Goolll de Anangon<f3> @LDU_Oficial  3-0  @Clan_juvenil
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-08 00:00:00,FALSE,NA,883842442633588736,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barcelucho85",1,TRUE,FALSE,NA,NA,"<U+0092> T   Goolll de Anangon<f3> LDUficial    Clanuvenil
FutbolEcuatorianoPorSucre","<U+0092>TGoollldeAnangon<f3>LDUficialClanuvenilFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador",0.617647058823529,"QUITO, ECUADOR","17",0
"RT @radio_sucre: 4<U+0092> 2T Goolll de De Jes<fa>s @IDV_EC  0-2 @elnacionalec
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-08 00:00:00,FALSE,NA,883812971323035648,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barcelucho85",1,TRUE,FALSE,NA,NA,"<U+0092> T Goolll de De Jes<fa>s IDVC   elnacionalec
FutbolEcuatorianoPorSucre","<U+0092>TGoollldeDeJes<fa>sIDVCelnacionalecFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador",0.617647058823529,"QUITO, ECUADOR","17",0
"37<U+0092> 1T  Goolll de T<e9>vez @Macara_Oficial   1-0  @BarcelonaBSC  
#FutbolEcuatorianoPorSucre",FALSE,1,NA,2017-07-16 17:38:32,FALSE,NA,886641211745947648,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",2,FALSE,FALSE,NA,NA,"<U+0092> T  Goolll de T<e9>vez Macaraficial     BarcelonaBSC  
FutbolEcuatorianoPorSucre","<U+0092>TGoollldeT<e9>vezMacaraficialBarcelonaBSCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"RT @radio_sucre: 8<U+0092> 1T  Goollll de Canga  @LDU_Oficial  1-0  @Clan_juvenil
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-08 00:00:00,FALSE,NA,883833246987030528,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barcelucho85",1,TRUE,FALSE,NA,NA,"<U+0092> T  Goollll de Canga  LDUficial    Clanuvenil
FutbolEcuatorianoPorSucre","<U+0092>TGoolllldeCangaLDUficialClanuvenilFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador",0.617647058823529,"QUITO, ECUADOR","17",0
"11<U+0092> 1T  Goollll de Mera @UCatolicaEC 0-1 @IDV_EC
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-15 17:15:08,FALSE,NA,886272935396347904,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T  Goollll de Mera UCatolicaEC  IDVC
FutbolEcuatorianoPorSucre","<U+0092>TGoolllldeMeraUCatolicaECIDVCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"RT @radio_sucre: 21<U+0092> 2T  Goool de Salaberry  @LDU_Oficial  4-0  @Clan_juvenil
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-08 00:00:00,FALSE,NA,883851378405367808,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barcelucho85",1,TRUE,FALSE,NA,NA,"<U+0092> T  Goool de Salaberry  LDUficial    Clanuvenil
FutbolEcuatorianoPorSucre","<U+0092>TGoooldeSalaberryLDUficialClanuvenilFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador",0.617647058823529,"QUITO, ECUADOR","17",0
