"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"1";"Suplicamos hagan sonar #VueloAParis @WQRadio_EC @TeamJohannCR @Andrea_Talibana @TeamJohannPty @TeamJohannPty @team_JohannPR gracias";FALSE;0;NA;2017-07-17 02:57:14;FALSE;NA;"886781811631718400";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"superjosefa";0;FALSE;FALSE;NA;NA
"2";"Hola @WQRadio_EC <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> quisiera que me complazcan con #Ven de @PabloJaraEc <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>gracias @TeamPabloJaraG #SueñaCantaAma";FALSE;0;NA;2017-07-16 23:17:22;FALSE;NA;"886726480432173056";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"MarcelaGmezM";0;FALSE;FALSE;NA;NA
"3";"@WQRadio_EC buenas tardes, me gustaría que pongan #ComoSiempre de @acholaterza cantante paraguayo <U+2764>";FALSE;0;"WQRadio_EC";2017-07-16 22:12:10;FALSE;NA;"886710075271909376";"423764833";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"AchoEcuador";0;FALSE;FALSE;NA;NA
"4";"RT @superjosefa: Se fue en 1 #VueloAParis y encontrara otro amor @eluniversocom @TeamJohannCol @WQRadio_EC @TeamjohannCuba @teamjohannquito…";FALSE;0;NA;2017-07-16 21:28:56;FALSE;NA;"886699195670908928";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"TeamjohannCuba";2;TRUE;FALSE;NA;NA
"5";"RT @WQRadio_EC: Los #DomingodeRelaxenWQ  los vives junto a @angelochoar  en @WQRadio_EC #ComoTeGusta https://t.co/ADNGdFeq3U";FALSE;0;NA;2017-07-16 21:02:29;FALSE;NA;"886692537636978688";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"JaqueBarbosa7";2;TRUE;FALSE;NA;NA
"6";"@WQRadio_EC @angelochoar Hola  xfa me pueden complacer con #Ven de @PabloJaraEc   <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> muchas gracias.. #SueñaCantaAma <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>";FALSE;0;"WQRadio_EC";2017-07-16 19:04:28;FALSE;"886654480661569536";"886662836096831488";"423764833";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Michuw1";0;FALSE;FALSE;NA;NA
"7";"RT @WQRadio_EC: Los #DomingodeRelaxenWQ  los vives junto a @angelochoar  en @WQRadio_EC #ComoTeGusta https://t.co/ADNGdFeq3U";FALSE;0;NA;2017-07-16 18:35:35;FALSE;NA;"886655568869552129";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"angelochoar";2;TRUE;FALSE;NA;NA
"8";"@WQRadio_EC @angelochoar #DomingoRelaxenWQ con#MiRumbera de @LericaMusic por favor. Ecuador los ama <U+2764><U+2764>";FALSE;0;"WQRadio_EC";2017-07-16 18:34:01;FALSE;"886654480661569536";"886655174684680192";"423764833";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"AMlericaCarmen";0;FALSE;FALSE;NA;NA
"9";"Los #DomingodeRelaxenWQ  los vives junto a @angelochoar  en @WQRadio_EC #ComoTeGusta https://t.co/ADNGdFeq3U";FALSE;1;NA;2017-07-16 18:31:16;FALSE;NA;"886654480661569536";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"WQRadio_EC";2;FALSE;FALSE;NA;NA
"10";"RT @melybarzo: @WQRadio_EC por favor puden poner #VueloAParis  de @JohannVera1 gracias";FALSE;0;NA;2017-07-16 18:05:18;FALSE;NA;"886647946325962753";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Jessykbv92";1;TRUE;FALSE;NA;NA
"11";"@WQRadio_EC por favor puden poner #VueloAParis  de @JohannVera1 gracias";FALSE;2;"WQRadio_EC";2017-07-16 17:45:10;FALSE;NA;"886642881729089537";"423764833";"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"melybarzo";1;FALSE;FALSE;NA;NA
