"n";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"localidad"
"1";"@simbana_oswaldo @Radiaciont @CanelaRadioEc Yoooo kiero la entrada para salsa viva";FALSE;0;"simbana_oswaldo";2017-07-18 03:50:36;FALSE;"877905018413662208";"887157631806312448";"867170751522250752";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"jessica38263372";0;FALSE;FALSE;NA;NA;"Pichincha, Ecuador"
"2";"RT @Radiaciont: Adquiera hoy mismo sus entradas
#salsaviva 
@CanelaRadioEc https://t.co/JPztHdncY1";FALSE;0;NA;2017-07-18 03:42:13;FALSE;NA;"887155523031891970";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"jessica38263372";6;TRUE;FALSE;NA;NA;"Pichincha, Ecuador"
"3";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/AuTC9iuoU3";FALSE;0;NA;2017-07-18 01:57:40;FALSE;NA;"887129210971664384";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"JamesDarkness01";4;TRUE;FALSE;NA;NA;"Quito, Ecuador"
"4";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/W3GJ06QAD5";FALSE;0;NA;2017-07-18 01:44:15;FALSE;NA;"887125833353228288";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"MaribelSaquipay";4;TRUE;FALSE;NA;NA;"Quito, Ecuador"
"5";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/gbawWAXLkp";FALSE;0;NA;2017-07-18 01:42:00;FALSE;NA;"887125268598575105";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"MaribelSaquipay";5;TRUE;FALSE;NA;NA;"Quito, Ecuador"
"6";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/HiTcefLCpt";FALSE;0;NA;2017-07-18 01:32:34;FALSE;NA;"887122895956307968";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"anth_desint03";4;TRUE;FALSE;NA;NA;""
"7";"De Colombia para Ecuador y el mundo entero @CanelaRadioEc #Quieroquehagamoselamor https://t.co/WiQUPATzRV  @HGcantante ft @Jimmycantante";FALSE;0;NA;2017-07-18 01:11:12;FALSE;NA;"887117517449199617";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"DjYax27";0;FALSE;FALSE;NA;NA;"Florida, USA"
"8";"RT @pablody10: @ERICKDANNYY @CanelaRadioEc @ERICKDANNYY se merecia ganar!! @CanelaRadioEc";FALSE;0;NA;2017-07-18 00:34:54;FALSE;NA;"887108380850040832";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"ERICKDANNYY";1;TRUE;FALSE;NA;NA;"Ecuador"
"9";"RT @vagosconsuerte: Gracias a nuestros panas de @CANELATV nuestra cuña oficial @LoroHomero @CanelaRadioEc alce la mano si nos escucha <ed><U+00A0><U+00BD><ed><U+00B1><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> ht…";FALSE;0;NA;2017-07-17 23:51:30;FALSE;NA;"887097457905152002";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Xavier_Pauta";137;TRUE;FALSE;NA;NA;"Cuenca, Ecuador"
"10";"@ERICKDANNYY @CanelaRadioEc @ERICKDANNYY se merecia ganar!! @CanelaRadioEc";FALSE;0;"ERICKDANNYY";2017-07-17 23:46:54;FALSE;"885698836978597888";"887096303578206214";"1914862884";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"pablody10";1;FALSE;FALSE;NA;NA;"Ecuador"
