"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/cjneLhsup6",FALSE,0,NA,2017-07-31 03:42:21,FALSE,NA,"891866597673111552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulinayunda",1,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/fbMQfuELuw",FALSE,0,NA,2017-07-31 03:42:18,FALSE,NA,"891866584414904320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulinayunda",2,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/j8QBZQYezT",FALSE,0,NA,2017-07-31 03:41:40,FALSE,NA,"891866423949176832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulinayunda",3,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/QKnMW7Fd3H",FALSE,0,NA,2017-07-31 01:43:47,FALSE,NA,"891836760312991745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jesus77r",5,TRUE,FALSE,NA,NA
"La lucha por nuestros hijos es ahora: por su presente y su futuro. #yoSoyunPapitoQuerendon #LeydeAmordePapáyMama… https://t.co/8q5HSaBZ6h",FALSE,0,NA,2017-07-31 01:01:17,TRUE,NA,"891826065294974976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","di_coronel",0,FALSE,FALSE,NA,NA
"RT @pablody10: Gracias @CanelaRadioEc por brindarnos un espacio @DYMFC_ECUADOR #DYARMY Preparativos #TamoEnVivoTour @daddy_yankee #Ecuador…",FALSE,0,NA,2017-07-31 00:12:09,FALSE,NA,"891813698490249216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ERICKDANNYY",2,TRUE,FALSE,NA,NA
"@CanelaRadioEc A estudiar vagos de mierda",FALSE,0,"CanelaRadioEc",2017-07-30 23:51:51,FALSE,"891786945180962817","891808588653625344","2411790656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juanfer21845",0,FALSE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/Q2lOjjSX2p",FALSE,0,NA,2017-07-30 23:48:13,FALSE,NA,"891807676824518656",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","danielafer072",1,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/fbMQfuELuw",FALSE,0,NA,2017-07-30 23:47:19,FALSE,NA,"891807450151747585",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","danielafer072",2,TRUE,FALSE,NA,NA
"@PrisPB @CanelaRadioEc Nada.. recien concursaba jaja..",FALSE,0,"PrisPB",2017-07-30 23:46:53,FALSE,"891803375960039425","891807338537123840","126171246","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GabyJaluff",0,FALSE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/QKnMW7Fd3H",FALSE,0,NA,2017-07-30 23:23:53,FALSE,NA,"891801553643950081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoroHomero",5,TRUE,FALSE,NA,NA
"@LoroHomero Y por qué no le pide a su coidearia y camarada @mfespinosaEC q deje d ser cómplice y cheerleader d esa… https://t.co/VVhWerRnes",FALSE,0,"LoroHomero",2017-07-30 23:17:05,TRUE,"891754257434673152","891799841923354624","267271723","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jpereziec",0,FALSE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/zKsYUK0P92",FALSE,0,NA,2017-07-30 23:14:22,FALSE,NA,"891799157312303104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kdiazyepez",1,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/Kso7rnPkbU",FALSE,0,NA,2017-07-30 23:13:56,FALSE,NA,"891799047031468032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kdiazyepez",1,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/rS0NjN85I2",FALSE,0,NA,2017-07-30 23:13:52,FALSE,NA,"891799032510599169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kdiazyepez",1,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/Gh9mFXFqPQ",FALSE,0,NA,2017-07-30 23:13:13,FALSE,NA,"891798866873503745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kdiazyepez",1,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/u5ypJtFLe2",FALSE,0,NA,2017-07-30 23:12:57,FALSE,NA,"891798802096676866",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kdiazyepez",1,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/0tR5jPAtvA",FALSE,0,NA,2017-07-30 23:11:53,FALSE,NA,"891798533711552512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kdiazyepez",1,TRUE,FALSE,NA,NA
"RT @AguilarQuelal: @ecfilmcom @FunkyPR @jmfilmsec @eluniversocom @ecuavisa @Expresoec @el_telegrafo @EcuadorTV @CanalRTU @CANELATV @CanelaR…",FALSE,0,NA,2017-07-30 22:38:35,FALSE,NA,"891790150040203268",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pruebaslocas99",3,TRUE,FALSE,NA,NA
