"n";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"localidad"
"1";"@RubenBlades cambiará las giras de salsa por la política";FALSE;0;"rubenblades";2017-07-18 04:00:02;FALSE;NA;"887160004087881729";"36928426";"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA;"Ecuador "
"2";"RT @Jeykomusicind: Buenas mi gente de Twitter #ecuador #Colombia #NewYork @Jeykomusicind @Spanish_Trap_ @labrujaecuador  @SonyMusicCol @Son…";FALSE;0;NA;2017-07-18 03:03:22;FALSE;NA;"887145743420719106";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"Jeykomusicind";2;TRUE;FALSE;NA;NA;"Ecuador- cuenca"
"3";"@Maluma cae en la fiebre de “Mi Gente” el nuevo tema de @JBalvin";FALSE;0;"maluma";2017-07-18 03:00:02;FALSE;NA;"887144904987639808";"153433497";"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA;"Ecuador "
"4";"FC Bayern reveló su nuevo uniforme de visitante para la temporada 2017-2018 https://t.co/nXqR2hhHGJ";FALSE;1;NA;2017-07-18 02:00:01;FALSE;NA;"887129801525309441";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA;"Ecuador "
"5";"https://t.co/o1SyTukx1c";FALSE;1;NA;2017-07-18 01:00:02;FALSE;NA;"887114708339179520";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA;"Ecuador "
"6";"Mischa Barton habla de la difusión de su video sexual: \"Hay un estigma con este tipo de cosas\"";FALSE;0;NA;2017-07-18 00:30:01;FALSE;NA;"887107153714192385";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA;"Ecuador "
"7";"@labrujaecuador hola me ayudas con #NiReggaetonNiRock de @GenaroMeCachas @GenaroFanClubEc gracias @KiaveNove";FALSE;0;"labrujaecuador";2017-07-18 00:19:32;FALSE;NA;"887104513202688004";"82985256";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"GenaroFanClubEc";0;FALSE;FALSE;NA;NA;""
"8";"hola @labrujaecuador nos complacen con #QuedateConmigo de @jesusmiranda gracias!!! 
@ArtistGrup @UniversalMusicE @pvillalobosm <U+2764>";FALSE;0;NA;2017-07-18 00:07:24;FALSE;NA;"887101460466606081";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"chynomiranda_ec";0;FALSE;FALSE;NA;NA;"Quito, Ecuador"
"9";"hola @labrujaecuador nos complacen con #QuedateConmigo de @jesusmiranda gracias!!! <U+2764>
@ArtistGrup @UniversalMusicE @pvillalobosm";FALSE;0;NA;2017-07-18 00:07:13;FALSE;NA;"887101412819206144";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"chynomiranda_ec";0;FALSE;FALSE;NA;NA;"Quito, Ecuador"
"10";"hola @labrujaecuador nos complacen con #QuedateConmigo de @jesusmiranda gracias!!! 
@ArtistGrup @UniversalMusicE @pvillalobosm";FALSE;1;NA;2017-07-18 00:04:36;FALSE;NA;"887100755420876800";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"chynomiranda_ec";0;FALSE;FALSE;NA;NA;"Quito, Ecuador"
"11";"Revelan nuevo adelanto del esperado filme \"El regreso de Mary Poppins\" https://t.co/RlpNhlIe5m";FALSE;2;NA;2017-07-18 00:00:02;FALSE;NA;"887099608375197705";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA;"Ecuador "
"12";"https://t.co/6LewNPRWyx";FALSE;1;NA;2017-07-17 23:30:01;FALSE;NA;"887092055180099585";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA;"Ecuador "
"13";"¡Hola  amigos! @labrujaecuador linda tarde por favor me gustaría escuchar la nueva canción de @betozenere #ParaSiempre gracias <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>";FALSE;1;NA;2017-07-17 23:03:07;FALSE;NA;"887085282339815427";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"KarenRiveristaE";0;FALSE;FALSE;NA;NA;""
"14";"Confirman nueva cinta de Leonardo DiCaprio y Martin Scorsese";FALSE;0;NA;2017-07-17 23:00:02;FALSE;NA;"887084506166853632";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA;"Ecuador "
"15";"Hola @labrujaecuador pueden poner #DevuélvemeElCorazón @SebastianYatra porfavor @SebastianYatraE @GomiTwiin @andradedirak @UniversalMusicE";FALSE;0;NA;2017-07-17 22:34:50;FALSE;NA;"887078167655174144";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"alejandra_9_8";0;FALSE;FALSE;NA;NA;""
