"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"TNT estrena serie de la Primera Guerra Mundial protagonizada por tres corresponsales",FALSE,0,NA,2017-07-31 03:56:09,FALSE,NA,"891870068518387714",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"@labrujaecuador se está pasando con música este domingo antes de exámenes! <ed><U+00A0><U+00BD><ed><U+00B9><U+0082><U+270C><U+270C><U+270C>",FALSE,0,"labrujaecuador",2017-07-31 03:22:36,FALSE,NA,"891861626168766464","82985256","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VYtor_Andres",0,FALSE,FALSE,NA,NA
"Madre sustituta de la socialité Kim Kardashian tiene tres meses de embarazo",FALSE,0,NA,2017-07-31 03:13:22,FALSE,NA,"891859302197202944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Reese Witherspoon siente que su hija creció “demasiado rápido”",FALSE,0,NA,2017-07-31 02:01:15,FALSE,NA,"891841152726552576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Cara Delevigne estrena su primer video musical",FALSE,0,NA,2017-07-31 01:15:23,FALSE,NA,"891829610308145152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Tachan a Eiza González de ""diva"" en su gira por el estreno de Baby Driver",FALSE,2,NA,2017-07-31 00:17:24,FALSE,NA,"891815018223865857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"El director Peter Weir considera que el cine actual pasa por un periodo de confusión",FALSE,1,NA,2017-07-30 22:54:20,FALSE,NA,"891794116333494276",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","labrujaecuador",1,FALSE,FALSE,NA,NA
"Por amor a México, la reina de la música disco, Gloria Gaynor, festejará su cumpleaños número 68 en la ciudad",FALSE,0,NA,2017-07-30 21:01:56,FALSE,NA,"891765829724975108",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Chester Bennington tuvo un funeral privado",FALSE,0,NA,2017-07-30 19:59:59,FALSE,NA,"891750237286658048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","labrujaecuador",1,FALSE,FALSE,NA,NA
"Michael Moore lanzó un show contra Donald Trump",FALSE,0,NA,2017-07-30 19:05:09,FALSE,NA,"891736441289658368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
