"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"1";"RT @Nanda_DYARMY: @CanelaRadioEc 
El campeón del pueblo estara en Quito este 10 de Agosto <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>
@daddy_yankee 
@DYARMY_EQUADOR 
#DaddyEnQuito h…";FALSE;0;NA;2017-07-08 02:31:07;FALSE;NA;"883513748673187840";NA;"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>";"CanelaRadioEc";2;TRUE;FALSE;NA;NA
"2";"RT @austin78125123: @vagosconsuerte @CanelaRadioEc @rpadpre @jalaldubois @DJDanielCruz @CUCHITO1940 @negritoklinger @PATOFORTUNY Únicos bag…";FALSE;0;NA;2017-07-08 02:31:05;FALSE;NA;"883513741081497600";NA;"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>";"CanelaRadioEc";1;TRUE;FALSE;NA;NA
"3";"RT @Nanda_DYARMY: @CanelaRadioEc 
El campeón del pueblo estara en Quito este 10 de Agosto <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>
@daddy_yankee 
@DYARMY_EQUADOR 
#DaddyEnQuito h…";FALSE;0;NA;2017-07-08 01:43:43;FALSE;NA;"883501822501158912";NA;"<a href=\"http://wuxi.cuxibamba.com\" rel=\"nofollow\">wuxi-speaker</a>";"SFQuito";2;TRUE;FALSE;NA;NA
"4";"@CanelaRadioEc 
El campeón del pueblo estara en Quito este 10 de Agosto <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>
@daddy_yankee 
@DYARMY_EQUADOR… https://t.co/HoSLzOSDQ2";FALSE;0;"CanelaRadioEc";2017-07-08 01:40:08;TRUE;NA;"883500918137909248";"2411790656";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Nanda_DYARMY";2;FALSE;FALSE;NA;NA
"5";"@vagosconsuerte @CanelaRadioEc @rpadpre @jalaldubois @DJDanielCruz @CUCHITO1940 @negritoklinger @PATOFORTUNY Únicos bagos  good luck<U+270C><U+270C><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>";FALSE;0;"vagosconsuerte";2017-07-08 01:27:22;FALSE;"883313563678507009";"883497705875660801";"748561132894433280";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"austin78125123";1;FALSE;FALSE;NA;NA
"6";"@stefamatyualex @CanelaRadioEc No manches igual";FALSE;0;"stefamatyualex";2017-07-08 01:23:32;FALSE;"883469758389202948";"883496742297235456";"563266645";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"austin78125123";0;FALSE;FALSE;NA;NA
"7";"RT @stefamatyualex: <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B8><U+008A>  
#DaddyEnQuito 
<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
@CanelaRadioEc 
<ed><U+00A0><U+00BD><ed><U+00B9><U+008B>yo kiero ir xfis";FALSE;0;NA;2017-07-08 00:49:10;FALSE;NA;"883488094808399873";NA;"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>";"CanelaRadioEc";1;TRUE;FALSE;NA;NA
"8";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/JrYSNozXZJ";FALSE;0;NA;2017-07-08 00:07:17;FALSE;NA;"883477551489966080";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"JamesDarkness01";3;TRUE;FALSE;NA;NA
"9";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/tPftrQhUX2";FALSE;0;NA;2017-07-08 00:06:26;FALSE;NA;"883477341086916608";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"JamesDarkness01";3;TRUE;FALSE;NA;NA
"10";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/NdvX7VCPnH";FALSE;0;NA;2017-07-08 00:06:11;FALSE;NA;"883477277954191360";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"JamesDarkness01";6;TRUE;FALSE;NA;NA
"11";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/NdvX7VCPnH";FALSE;0;NA;2017-07-07 23:47:17;FALSE;NA;"883472518249623552";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"tanya01calde";6;TRUE;FALSE;NA;NA
"12";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/n78WiX30qK";FALSE;0;NA;2017-07-07 23:44:15;FALSE;NA;"883471758371819520";NA;"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>";"xavierdres";4;TRUE;FALSE;NA;NA
"13";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/M4fpT9XeaH";FALSE;0;NA;2017-07-07 23:43:59;FALSE;NA;"883471688423362560";NA;"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>";"xavierdres";2;TRUE;FALSE;NA;NA
