"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"1";"Creador de \"Game of Thrones\" asumirá como productor de nueva serie de HBO";FALSE;0;NA;2017-07-12 04:00:01;FALSE;NA;"884985671928205312";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA
"2";"Nueva versión de \"Aladdin\" todavía no cuenta con sus actores protagónicos a un mes de comenzar el rodaje";FALSE;1;NA;2017-07-12 03:00:02;FALSE;NA;"884970576321929217";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA
"3";"Sting dona a refugiados en Suecia la dotación de su \"Nobel de la música\"";FALSE;1;NA;2017-07-12 02:00:02;FALSE;NA;"884955479390269440";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA
"4";"@labrujaecuador Carlos Cornejo regreso a la programación?";FALSE;0;"labrujaecuador";2017-07-12 01:35:35;FALSE;"884910174099648512";"884949327327703044";"82985256";"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"ligiacobo";0;FALSE;FALSE;NA;NA
"5";"RT @dayanataly94: Hola @labrujaecuador me podrian complacer con la canción #QuedateConmigo d @jesusmiranda 
@ArtistGrup
@pvillalobosm
@chyn…";FALSE;0;NA;2017-07-12 01:21:50;FALSE;NA;"884945865193947136";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"chynomiranda_ec";1;TRUE;FALSE;NA;NA
"6";"\"Spider-Man\" favorece a Sony y se convierte en el cuarto estreno del año que supera los US$ 100 millones";FALSE;0;NA;2017-07-12 01:00:02;FALSE;NA;"884940378092167168";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA
"7";"\"Spider-Man\" conquista la taquilla norteamericana y destrona a \"Mi villano favorito 3\"";FALSE;3;NA;2017-07-12 00:30:00;FALSE;NA;"884932821164343296";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA
"8";"https://t.co/BKmq2FTI1q";FALSE;1;NA;2017-07-12 00:00:01;FALSE;NA;"884925275582087168";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA
"9";"Síguenos en nuestra fan page para que seamos cada vez más !!!

https://t.co/O3vwsnh1GU https://t.co/PJOfdN1Rg9";FALSE;1;NA;2017-07-11 23:30:00;FALSE;NA;"884917722550722560";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"labrujaecuador";0;FALSE;FALSE;NA;NA
"10";"RT @Michuw1: Hola @labrujaecuador  me pueden complacer con la canción #Ven de @PabloJaraEc gracias... <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> @TeamPJaraUIO";FALSE;0;NA;2017-07-11 23:13:04;FALSE;NA;"884913458717892609";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"TeamPJaraUIO";2;TRUE;FALSE;NA;NA
