"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Amigos de @MetroStereo nos gustaria escuchar #Attention <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> de @charlieputh <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>",FALSE,0,NA,2017-07-09 16:44:39,FALSE,NA,"884090937315602433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PuthTroopECU",0,FALSE,FALSE,NA,NA
"2","RT @zippydm: Sigan partiéndola que son únicos. #limpbizkit @MetroStereo https://t.co/jPhaQKOpy3",FALSE,0,NA,2017-07-09 16:43:28,FALSE,NA,"884090638202961920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",1,TRUE,FALSE,NA,NA
"3","Sigan partiéndola que son únicos. #limpbizkit @MetroStereo https://t.co/jPhaQKOpy3",FALSE,0,NA,2017-07-09 16:40:08,FALSE,NA,"884089800814473217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zippydm",1,FALSE,FALSE,NA,NA
"4","Se vienen tus favoritos de la mañana, disfrutas de #LimpBizkit con ""Re-Arranged"" y ""My Generation"" en M2 de tu… https://t.co/kxV2WgyHQx",FALSE,2,NA,2017-07-09 16:31:38,TRUE,NA,"884087660687618048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",0,FALSE,FALSE,NA,NA
"5","RT @MetroStereo: <U+26A1><U+FE0F>Cool Morning<U+26A1><U+FE0F>Tu domingo con #RedHotChiliPeppers desde el ""Beavis and Butt-Head Do America"" #Np #Breakfast ft @Teff_Pala…",FALSE,0,NA,2017-07-09 15:45:44,FALSE,NA,"884076110518116354",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","franciscopsr",1,TRUE,FALSE,NA,NA
"6","RT @nonmindOfficial: Con sus votos pudimos mantener la PARADA No1 del #MetroTOP20 con #SoulMachine de tu @MetroStereo junto a @KarlyCode.…",FALSE,0,NA,2017-07-09 15:33:03,FALSE,NA,"884072916186533888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SantyKjas",3,TRUE,FALSE,NA,NA
"7","Llega tu momento de votar en el Vs <ed><U+00A0><U+00BE><ed><U+00B4><U+009C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BE><ed><U+00B4><U+009B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> de tu #Breakfast ft @Teff_Palacios, por @limpbizkit o @royalblooduk para un M2 con actitud!!!",FALSE,0,NA,2017-07-09 15:22:12,FALSE,NA,"884070188467060737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",0,FALSE,FALSE,NA,NA
"8","<U+26A1><U+FE0F>Cool Morning<U+26A1><U+FE0F>Tu domingo con #RedHotChiliPeppers desde el ""Beavis and Butt-Head Do America"" #Np #Breakfast ft… https://t.co/yxxyTBRkC2",FALSE,6,NA,2017-07-09 15:15:16,TRUE,NA,"884068441434591233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",1,FALSE,FALSE,NA,NA
"9","@KarlyCode @MetroStereo Premios premios saludos amigis",FALSE,0,"KarlyCode",2017-07-09 15:05:17,FALSE,"883683816430325760","884065930921357313","211427327","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VictorGabrielj",0,FALSE,FALSE,NA,NA
"10","Gracias por escuchar El Vagón Alternativo @vagonalt  hoy noche. Terminando con Soft Cell. Hasta el próximo sábado!",FALSE,4,NA,2017-07-09 03:12:28,FALSE,NA,"883886542133104640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",0,FALSE,FALSE,NA,NA
