"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ArgotiPablo: Un gran día Rockeros @@Karlycode @MetroStereo   aquí está <ed><U+00A0><U+00BD><ed><U+00B1><U+0087> el xq es el gran día.
La <U+24C2>etro es <ed><U+00A0><U+00BC><ed><U+00B6><U+0092> <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> https://t.co/KMYrzgpnr8",FALSE,0,NA,2017-07-14 02:31:13,FALSE,NA,"885688101590454272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","davidgatomh",6,TRUE,FALSE,NA,NA
"2","RT @MetroStereo: Feliz #DiaMundialDelRock On Board @KarlyCode through the #RouteofMusic disfrutemos con toda la #actitud de la Metro porque…",FALSE,0,NA,2017-07-14 01:08:43,FALSE,NA,"885667341840916480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","F1r3maN",11,TRUE,FALSE,NA,NA
"3","@MetroStereo @gunsnroses @offspring Guns n roses
U2
Inxs
Led Zepellin
Lab of god
Evanescente
Radiohead
Metallica
Offspring",FALSE,0,"MetroStereo",2017-07-14 00:52:52,FALSE,"885594121632718850","885663353364000769","159342762","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guilloscardenas",0,FALSE,FALSE,NA,NA
"4","#HOLAHELLO NADIE notese la palabra  NADIE !!! puede vivir sin ROCK !!! que opinan de esta publicación ????? https://t.co/6VsdLmyKj9",FALSE,0,NA,2017-07-14 00:37:12,FALSE,NA,"885659409543831553",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MetroStereo",0,FALSE,FALSE,NA,NA
"5","Dale clic aquí y escúchalo <ed><U+00A0><U+00BE><ed><U+00B4><U+0098> <U+27A4> https://t.co/BHBCstjmg3",FALSE,0,NA,2017-07-14 00:26:58,FALSE,NA,"885656835654651905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroStereo",0,FALSE,FALSE,NA,NA
"6","RT @MetroStereo: Hoy por el #DiaMundialDelROCK preparamos en el #RouteofMusic junto a @KarlyCode un #BloqueEnHard deja tus sugerencias!<U+25B6><U+FE0F> h…",FALSE,0,NA,2017-07-14 00:26:07,FALSE,NA,"885656618280660993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KarlyCode",1,TRUE,FALSE,NA,NA
"7","RT @MetroStereo: Feliz #DiaMundialDelRock On Board @KarlyCode through the #RouteofMusic disfrutemos con toda la #actitud de la Metro porque…",FALSE,0,NA,2017-07-14 00:23:46,FALSE,NA,"885656027626131463",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hugoferrez",11,TRUE,FALSE,NA,NA
"8","#holahello Que tal te parece la nueva canción que pusimos hoy de Rise Againts ??The Violence !! aquí te dejamos... https://t.co/F3HOoEUvq3",FALSE,0,NA,2017-07-14 00:17:27,FALSE,NA,"885654438177902592",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MetroStereo",0,FALSE,FALSE,NA,NA
"9","@MetroStereo @gunsnroses @offspring D: dire straits e: evanescence n: mirvana n:nine inch nails i: incubus s: soad",FALSE,0,"MetroStereo",2017-07-14 00:09:11,FALSE,"885594121632718850","885652358977466368","159342762","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlEsSaNdErPuNk",0,FALSE,FALSE,NA,NA
"10","RT @MetroStereo: Feliz #DiaMundialDelRock <ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> https://t.co/o1SEEcN4oO",FALSE,0,NA,2017-07-13 23:40:37,FALSE,NA,"885645169432940544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CrixST",24,TRUE,FALSE,NA,NA
